AutoId,Department,Category,Product_Name,Size,Barcode,Case_QTY,Standard_Price,Vendor,Vendor Code,Tax_Code,Inventory,Description_One,other_upc,other_vc,
4194,Wine,Box Wine,Franzia Fruity Sangria - 5 L,5 L,83120103295,4,18.99,Horizon Coastal,0,No,4,Franzia Fruity Sangria,,,
4195,Wine,Box Wine,Franzia Merlot - 5 L,5 L,83120100195,4,18.99,Horizon Coastal,0,No,4,Franzia Merlot,,,
4196,Wine,Box Wine,Franzia Moscato - 5 L,5 L,83120003021,4,18.99,Horizon Coastal,0,No,4,Franzia Moscato,,,
4197,Wine,Box Wine,Franzia Pink Moscato - 5 L,5 L,83120003540,4,18.99,Horizon Coastal,47348,No,,Franzia Pink Moscato,,,
4198,Wine,Box Wine,Franzia Pinot Grigio - 1.5L,1.5L,86000000127,6,8.99,Horizon Coastal,48283,No,,Franzia Pinot Grigio,,,
4199,Wine,Box Wine,Franzia Pinot Grigio - 5 L,5 L,83120100393,4,18.99,Horizon Coastal,0,No,4,Franzia Pinot Grigio,,,
4200,Wine,Box Wine,Franzia Pinot Grigio - 500ML,500ML,83120010104,12,3.99,Horizon Coastal,48284,No,,Franzia Pinot Grigio,,,
4201,Wine,Box Wine,Franzia Pinot Noir - 5 L,5 L,83120003823,4,18.99,Horizon Coastal,48286,No,,Franzia Pinot Noir,,,
4202,Wine,Box Wine,Franzia Refreshing White - 5 L,5 L,83120101994,4,15.99,Horizon Coastal,0,No,4,Franzia Refreshing White,,,
4203,Wine,Box Wine,Franzia Rose - 5 L,5 L,83120003816,4,18.99,Horizon Coastal,0,No,4,Franzia Rose,,,
4204,Wine,Box Wine,Franzia Rose - 500ML,500ML,83120004059,12,3.99,Horizon Coastal,0,No,,Franzia Rose,,,
4205,Wine,Box Wine,Franzia Sauv Blanc - 5 L,5 L,83120011231,4,18.99,Horizon Coastal,0,No,4,Franzia Sauv Blanc,,,
4206,Wine,Box Wine,Franzia Sunset Blush - 5 L,5 L,83120103691,4,15.99,Horizon Coastal,0,No,16,Franzia Sunset Blush,,,
4207,Wine,Other Catogory,FRANZIA VS PEACH MOSCATO      -5LTR,5L,83120014683,4,19.99,Horizon Coastal,0,No,4,FRANZIAVSPEACHMOSCATO,83120014683,48302,
4208,Wine,Box Wine,Franzia White Zin - 5 L,5 L,83120103196,4,18.99,Horizon Coastal,0,No,4,Franzia White Zin,,,
4209,Beer,Other Catogory,FRAWEI 4/6/12 BT,6 Pack,88394000332,6,10.99,Augusta,49967,No,,,88394000332,,
4210,Wine,Chardonnay,Fre Chardonnay - 750ML,750ML,8510129,12,9.99,Carolina,749840,No,,Fre Chardonnay,,,
4211,Wine,Merlot,Fre Merlot - 750ML,750ML,8510828,12,9.99,Carolina,749991,No,,Fre Merlot,,,
4212,Wine,Red Blend,Fre Red Blend - 750ML,750ML,8510420,12,9.99,Carolina,749940,No,,Fre Red Blend,,,
4213,Wine,White Zin,Fre White Zinfandel - 750ML,750ML,8510022,12,9.99,Carolina,749740,No,,Fre White Zinfandel,,,
4214,Wine,Other Catogory,FREEMARK ABBY 18 CAB NAPA - 750ML,750ML,15917026968,6,68.99,MSWalker,404744,No,6,FREEMARK ABBY 18 CAB NAPA,15917026968,,
4215,Wine,Other Catogory,FREEMARK ABBY 21 CHARD 6P - 750ML,750ML,15917029105,6,44.99,MSWalker,404721,No,6,FREEMARK ABBY 21 CHARD 6P,15917029105,,
4216,Wine,Other Catogory,FREI BROS CAB SAUV ALEX VALLEY 2020 - 750ML,750ML,85000010532,12,24.99,Commonwealth,132943,No,12,FREI BROS CAB SAUV ALEX VALLEY 2020,85000010532,,
4217,Wine,Other Catogory,FREI BROS RR CHARDONNAY 2021 - 750ML,750ML,85000010563,12,17.99,Commonwealth,132823,No,12,FREI BROS RR CHARDONNAY 2021,85000010563,,
4218,Wine,Other Catogory,FREI BROS SAUV BLANC 2021 - 750ML,750ML,85000015827,12,17.99,Commonwealth,134881,No,12,FREI BROS SAUV BLANC 2021,85000015827,,
4219,Wine,Other Catogory,FREIXENET 21 PINOT GRIGIO - 750ML,750ML,816253012505,12,14.99,MSWalker,460841,No,12,FREIXENET 21 PINOT GRIGIO,816253012505,,
4220,Wine,sparkling,Freixenet Cardon Negro Br - 187ML 3pk,187ML 3pk,33293003120,24,11.99,MSWalker,420684,No,8,Freixenet Cardon Negro Br,,,
4221,Wine,sparkling,Freixenet Cardon Negro Br - 750ML,750ML,33293003007,12,12.99,MSWalker,420640,No,12,Freixenet Cardon Negro Br,,,
4222,Wine,Other Catogory,FREIXENET CORDON NEGRO BR - 1.5L,1.5L,33293003403,6,21.99,MSWalker,377995,No,6,FREIXENET CORDON NEGRO BR,33293003403,,
4223,Wine,sparkling,Freixenet Cordon Negro EX - 750ML,750ML,33293003809,12,12.99,MSWalker,420540,No,12,Freixenet Cordon Negro EX,,,
4224,Wine,sparkling,Freixenet Prosecco - 750ML,750ML,33293005735,12,17.99,MSWalker,420661,No,12,Freixenet Prosecco,,,
4225,Beer,Beer,Fresca Mixed Variety pack - 8 Pack,8 Pack,810078780861,8,18.99,Atlas,0,No,,Fresca Mixed Variety pack,,,
